station id,station name,latitude,longitude,zipcode,burrough,city,county,state
3496,1 Ave & E 110 St,40.7923272,-73.9383,10029,Manhattan,New York,New York County,New York
504,1 Ave & E 16 St,40.73221853,-73.98165557,10009,Manhattan,New York,New York County,New York
2003,1 Ave & E 18 St,40.73381219,-73.98054421,10009,Manhattan,New York,New York County,New York
536,1 Ave & E 30 St,40.74144387,-73.97536082,10016,Manhattan,New York,New York County,New York
455,1 Ave & E 44 St,40.75001986,-73.96905301,10017,Manhattan,New York,New York County,New York
3744,1 Ave & E 5 St,40.725864,-73.986389,10009,Manhattan,New York,New York County,New York
3142,1 Ave & E 62 St,40.761227399999996,-73.96094022,10065,Manhattan,New York,New York County,New York
3141,1 Ave & E 68 St,40.76500525,-73.95818491,10065,Manhattan,New York,New York County,New York
3140,1 Ave & E 78 St,40.77140426,-73.9535166,10075,Manhattan,New York,New York County,New York
3312,1 Ave & E 94 St,40.78172120000001,-73.94594000000001,10128,Manhattan,New York,New York County,New York
3386,1 Pl & Clinton St,40.6809591,-73.99905709,11231,Brooklyn,,Kings County,New York
489,10 Ave & W 28 St,40.75066386,-74.00176802,10001,Manhattan,New York,New York County,New York
3441,10 Hudson Yards,40.752957,-74.00264,10001,Manhattan,New York,New York County,New York
3795,10 St & 2 Ave,40.671907,-73.993612,11215,Brooklyn,,Kings County,New York
3317,10 St & 5 Ave,40.6686273,-73.98700053,11215,Brooklyn,,Kings County,New York
3306,10 St & 7 Ave,40.666207799999995,-73.98199886,11215,Brooklyn,,Kings County,New York
458,11 Ave & W 27 St,40.751396,-74.00522600000001,10001,Manhattan,New York,New York County,New York
478,11 Ave & W 41 St,40.76030096,-73.99884222,10036,Manhattan,New York,New York County,New York
530,11 Ave & W 59 St,40.77149671,-73.99046034,10019,Manhattan,New York,New York County,New York
3567,11 St & 35 Ave,40.76274420000001,-73.9391141,11106,Queens,,Queens County,New York
3620,11 St & 43 Ave,40.7519071,-73.94791190000001,11101,Queens,,Queens County,New York
3881,12 Ave & W 125 St,40.818298999999996,-73.96040500000001,10027,Manhattan,New York,New York County,New York
514,12 Ave & W 40 St,40.76087502,-74.00277668,10018,Manhattan,New York,New York County,New York
3322,12 St & 4 Ave,40.668603000000004,-73.99043940000001,11215,Brooklyn,,Kings County,New York
3319,14 St & 5 Ave,40.666287,-73.98895053,11215,Brooklyn,,Kings County,New York
3310,14 St & 7 Ave,40.663779,-73.98396846,11215,Brooklyn,,Kings County,New York
3524,19 St & 24 Ave,40.777455200000006,-73.9225403,11102,Queens,,Queens County,New York
3478,2 Ave & 36 St,40.65708867,-74.00870204,11232,Brooklyn,,Kings County,New York
3425,2 Ave & E 104 St,40.789210499999996,-73.94370784,10029,Manhattan,New York,New York County,New York
3499,2 Ave & E 122 St,40.8006721,-73.9349,10035,Manhattan,New York,New York County,New York
528,2 Ave & E 31 St,40.74290902,-73.97706058,10016,Manhattan,New York,New York County,New York
3725,2 Ave & E 72 St,40.76876203,-73.95840794,10021,Manhattan,New York,New York County,New York
3318,2 Ave & E 96 St,40.7839636,-73.94716729999999,10128,Manhattan,New York,New York County,New York
3338,2 Ave & E 99 St,40.786258600000004,-73.94552579,10029,Manhattan,New York,New York County,New York
3591,21 St & 31 Dr,40.7659,-73.930819,11106,Queens,,Queens County,New York
3564,21 St & 36 Ave,40.760185299999996,-73.9362726,11106,Queens,,Queens County,New York
3559,21 St & 38 Ave,40.7576314,-73.9391224,11101,Queens,,Queens County,New York
3128,21 St & 43 Ave,40.75052534,-73.94594845,11101,Queens,,Queens County,New York
3513,21 St & Hoyt Ave S,40.774645,-73.92370600000001,11102,Queens,,Queens County,New York
3130,21 St & Queens Plaza North,40.75325964,-73.94335788,11101,Queens,,Queens County,New York
3525,23 Ave & 27 St,40.776165,-73.9153175,11105,Queens,,Queens County,New York
3515,24 Ave & 26 St,40.774591,-73.918544,11102,Queens,,Queens County,New York
3523,24 Ave & 29 St,40.7729,-73.91614200000001,11102,Queens,,Queens County,New York
3556,24 St & 41 Ave,40.752708500000004,-73.9397405,11101,Queens,,Queens County,New York
3811,27 Ave & 3 St,40.77485,-73.9342,11102,Queens,,Queens County,New York
3621,27 Ave & 9 St,40.7739825,-73.93091340000001,11102,Queens,,Queens County,New York
3618,27 St & Hunter St,40.7485,-73.941275,11101,Queens,,Queens County,New York
3617,28 Ave & 35 St,40.7671,-73.9169858,11103,Queens,,Queens County,New York
3691,28 Ave & 44 St,40.76408932,-73.91065121,11103,Queens,,Queens County,New York
3563,28 St & 36 Ave,40.757186,-73.93271899999999,11106,Queens,,Queens County,New York
3555,28 St & 41 Ave,40.751047,-73.93796999999999,11101,Queens,,Queens County,New York
3324,3 Ave & 14 St,40.6685455,-73.99333264,11215,Brooklyn,,Kings County,New York
3762,3 Ave & Carroll St,40.677027,-73.9865,11215,Brooklyn,,Kings County,New York
3327,3 Ave & E 100 St,40.787721399999995,-73.94728331,10029,Manhattan,New York,New York County,New York
3551,3 Ave & E 112 St,40.795508,-73.94160600000001,10029,Manhattan,New York,New York County,New York
3134,3 Ave & E 62 St,40.76312584,-73.96526895,10065,Manhattan,New York,New York County,New York
3152,3 Ave & E 71 St,40.76873687,-73.96119945,10021,Manhattan,New York,New York County,New York
3375,3 Ave & E 72 St,40.7699426,-73.96060712,10021,Manhattan,New York,New York County,New York
298,3 Ave & Schermerhorn St,40.68683208,-73.9796772,11217,Brooklyn,,Kings County,New York
3373,3 St & 3 Ave,40.675070500000004,-73.98775226,11215,Brooklyn,,Kings County,New York
3365,3 St & 7 Ave,40.67038370000001,-73.97839676,11215,Brooklyn,,Kings County,New York
3381,3 St & Hoyt St,40.6777287,-73.99364123,11231,Brooklyn,,Kings County,New York
3354,3 St & Prospect Park West,40.668132,-73.97363831,11215,Brooklyn,,Kings County,New York
3612,30 Ave & 21 St,40.77037429999999,-73.9286078,11102,Queens,,Queens County,New York
3607,31 Ave & 14 St,40.7682,-73.9322662,11106,Queens,,Queens County,New York
3603,31 Ave & 30 St,40.7647,-73.9240312,11106,Queens,,Queens County,New York
3602,31 Ave & 34 St,40.763154,-73.920827,11106,Queens,,Queens County,New York
3605,31 Ave & Crescent St,40.765834600000005,-73.9265474,11106,Queens,,Queens County,New York
3662,31 Ave & Steinway St,40.7612939,-73.91691685,11103,Queens,,Queens County,New York
3526,31 St & 23 Ave,40.7747878,-73.91255509999999,11105,Queens,,Queens County,New York
3516,31 St & Astoria Blvd,40.76991760000001,-73.91840570000001,11102,Queens,,Queens County,New York
3593,31 St & Broadway,40.761584,-73.925921,11106,Queens,,Queens County,New York
3517,31 St & Hoyt Ave N,40.771152799999996,-73.9170074,11102,Queens,,Queens County,New York
3721,31 St & Newtown Ave,40.76754878,-73.92093346,11102,Queens,,Queens County,New York
3654,31 St & Northern Blvd,40.75186951,-73.9334929,11101,Queens,,Queens County,New York
3123,31 St & Thomson Ave,40.74469738,-73.93540375,11101,Queens,,Queens County,New York
3586,34 Ave & 13 St,40.763875299999995,-73.9364848,11106,Queens,,Queens County,New York
3577,34 Ave & 21 St,40.762813799999996,-73.9342862,11106,Queens,,Queens County,New York
3572,34 Ave & 38 St,40.756913,-73.921631,11101,Queens,,Queens County,New York
3568,34 St & 35 Ave,40.756933200000006,-73.92622309999999,11106,Queens,,Queens County,New York
3646,35 Ave & 10 St,40.76315482,-73.9398551,11106,Queens,,Queens County,New York
3570,35 Ave & 37 St,40.7557327,-73.92366109999999,11101,Queens,,Queens County,New York
3573,35 St & 34 Ave,40.7580583,-73.92427509999999,11106,Queens,,Queens County,New York
3595,35 St & Broadway,40.760339,-73.9222427,11106,Queens,,Queens County,New York
3565,36 Ave & 10 St,40.7614376,-73.9411265,11106,Queens,,Queens County,New York
3745,36 Ave & 31 St,40.75651273,-73.92957486,11106,Queens,,Queens County,New York
3561,37 Ave & 35 St,40.7531106,-73.9279917,11101,Queens,,Queens County,New York
3522,37 St & 24 Ave,40.7701477,-73.9120938,11105,Queens,,Queens County,New York
3892,38 Ave & 29 St,40.75473,-73.93366999999999,11101,Queens,,Queens County,New York
3477,39 St & 2 Ave,40.65539977,-74.01062787,11232,Brooklyn,,Kings County,New York
3403,4 Ave & 9 St,40.6705135,-73.98876585,11215,Brooklyn,,Kings County,New York
3905,4 Ave & E 12 St,40.732647,-73.99011,10003,Manhattan,New York,New York County,New York
3557,40 Ave & 9 St,40.75742,-73.945133,11101,Queens,,Queens County,New York
3716,40 Ave & Crescent St,40.753599200000004,-73.93795609,11101,Queens,,Queens County,New York
3597,43 St & Broadway,40.7577284,-73.9166368,11103,Queens,,Queens County,New York
3615,44 Dr & 21 St,40.748000000000005,-73.94609270000001,11101,Queens,,Queens County,New York
3126,44 Dr & Jackson Ave,40.74718234,-73.9432635,11101,Queens,,Queens County,New York
3125,45 Rd & 11 St,40.74708586,-73.94977234,11101,Queens,,Queens County,New York
3124,46 Ave & 5 St,40.74731,-73.95451,11101,Queens,,Queens County,New York
3221,47 Ave & 31 St,40.743,-73.93561,11101,Queens,,Queens County,New York
3704,47 Ave & Skillman Ave,40.74375241,-73.94176483,11101,Queens,,Queens County,New York
3647,48 Ave & 30 Pl,40.74128309,-73.93725872,11101,Queens,,Queens County,New York
3122,48 Ave & 5 St,40.74436329,-73.95587325,11101,Queens,,Queens County,New York
3606,49 Ave & 21 St,40.74252,-73.948852,11101,Queens,,Queens County,New York
3368,5 Ave & 3 St,40.672815500000006,-73.98352355,11215,Brooklyn,,Kings County,New York
3367,5 Ave & E 103 St,40.792255299999994,-73.95249933,10029,Manhattan,New York,New York County,New York
3527,5 Ave & E 126 St,40.806979999999996,-73.94174699999999,10035,Manhattan,New York,New York County,New York
474,5 Ave & E 29 St,40.7451677,-73.98683077,10016,Manhattan,New York,New York County,New York
3136,5 Ave & E 63 St,40.766368,-73.971518,10065,Manhattan,New York,New York County,New York
3137,5 Ave & E 73 St,40.77282817,-73.96685276,10021,Manhattan,New York,New York County,New York
3143,5 Ave & E 78 St,40.77632142,-73.96427393,10075,Manhattan,New York,New York County,New York
3282,5 Ave & E 88 St,40.78307,-73.95939,10128,Manhattan,New York,New York County,New York
3292,5 Ave & E 93 St,40.785785100000005,-73.957481,10128,Manhattan,New York,New York County,New York
3608,5 St & 51 Ave,40.7423737,-73.9566,11101,Queens,,Queens County,New York
3405,5 St & 6 Ave,40.670483600000004,-73.98208968,11215,Brooklyn,,Kings County,New York
3692,5 St & Market St,40.69999748,-73.97440128,11205,Brooklyn,,Kings County,New York
3313,6 Ave & 12 St,40.666318100000005,-73.9854617,11215,Brooklyn,,Kings County,New York
3304,6 Ave & 9 St,40.668127,-73.98377641,11215,Brooklyn,,Kings County,New York
3746,6 Ave & Broome St,40.72430832,-74.00473036,10013,Manhattan,New York,New York County,New York
377,6 Ave & Canal St,40.72243797,-74.00566443,10013,Manhattan,New York,New York County,New York
505,6 Ave & W 33 St,40.74901271,-73.98848395,10001,Manhattan,New York,New York County,New York
3799,6 Ave & W 34 St,40.74964,-73.98805,10001,Manhattan,New York,New York County,New York
3297,6 St & 7 Ave,40.668662700000006,-73.97988067,11215,Brooklyn,,Kings County,New York
3724,7 Ave & Central Park South,40.76674056,-73.97906899,10019,Manhattan,New York,New York County,New York
3416,7 Ave & Park Pl,40.67761470000001,-73.97324283,11217,Brooklyn,,Kings County,New York
3399,7 St & 3 Ave,40.67260298,-73.98983002,11215,Brooklyn,,Kings County,New York
3404,7 St & 5 Ave,40.670492200000005,-73.98541675,11215,Brooklyn,,Kings County,New York
3255,8 Ave & W 31 St,40.75058535,-73.99468482,10001,Manhattan,New York,New York County,New York
490,8 Ave & W 33 St,40.751551,-73.993934,10001,Manhattan,New York,New York County,New York
447,8 Ave & W 52 St,40.76370739,-73.9851615,10019,Manhattan,New York,New York County,New York
434,9 Ave & W 18 St,40.74317449,-74.00366443,10011,Manhattan,New York,New York County,New York
509,9 Ave & W 22 St,40.7454973,-74.00197139,10011,Manhattan,New York,New York County,New York
3259,9 Ave & W 28 St,40.74937024,-73.99923384,10001,Manhattan,New York,New York County,New York
479,9 Ave & W 45 St,40.76019252,-73.9912551,10036,Manhattan,New York,New York County,New York
3127,9 St & 44 Rd,40.74966,-73.9521,11101,Queens,,Queens County,New York
3511,Adam Clayton Powell Blvd & W 115 St,40.802535,-73.9532423,10026,Manhattan,New York,New York County,New York
3520,Adam Clayton Powell Blvd & W 118 St,40.804372,-73.951475,10026,Manhattan,New York,New York County,New York
3510,Adam Clayton Powell Blvd & W 123 St,40.8078316,-73.949373,10027,Manhattan,New York,New York County,New York
3629,Adam Clayton Powell Blvd & W 126 St,40.80949535,-73.94776493,10027,Manhattan,New York,New York County,New York
270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,11205,Brooklyn,,Kings County,New York
3044,Albany Ave & Fulton St,40.6800105,-73.938475,11216,Brooklyn,,Kings County,New York
361,Allen St & Hester St,40.71605866,-73.99190759,10002,Manhattan,New York,New York County,New York
401,Allen St & Rivington St,40.72019576,-73.98997825,10002,Manhattan,New York,New York County,New York
312,Allen St & Stanton St,40.722055,-73.989111,10002,Manhattan,New York,New York County,New York
3542,Amsterdam Ave & W 119 St,40.8086249,-73.9596214,10027,Manhattan,New York,New York County,New York
3541,Amsterdam Ave & W 125 St,40.813358,-73.956461,10027,Manhattan,New York,New York County,New York
3356,Amsterdam Ave & W 66 St,40.7746671,-73.98470567,10023,Manhattan,New York,New York County,New York
3167,Amsterdam Ave & W 73 St,40.77966809,-73.98093045,10023,Manhattan,New York,New York County,New York
3360,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,10024,Manhattan,New York,New York County,New York
3171,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,10024,Manhattan,New York,New York County,New York
3514,Astoria Park S & Shore Blvd,40.7767,-73.927631,11102,Queens,,Queens County,New York
83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,11217,Brooklyn,,Kings County,New York
398,Atlantic Ave & Furman St,40.69165183,-73.99997859999999,11201,Brooklyn,,Kings County,New York
3733,Avenue C & E 18 St,40.730563000000004,-73.973984,10009,Manhattan,New York,New York County,New York
339,Avenue D & E 12 St,40.72580614,-73.97422494,10009,Manhattan,New York,New York County,New York
302,Avenue D & E 3 St,40.72082834,-73.97793172,10009,Manhattan,New York,New York County,New York
266,Avenue D & E 8 St (home location),40.72368361,-73.97574813,10009,Manhattan,New York,New York County,New York
3417,Baltic St & 5 Ave,40.6795766,-73.97854971,11217,Brooklyn,,Kings County,New York
346,Bank St & Hudson St,40.73652889,-74.00618026,10014,Manhattan,New York,New York County,New York
238,Bank St & Washington St,40.7361967,-74.00859207,10014,Manhattan,New York,New York County,New York
3109,Banker St & Meserole Ave,40.72606,-73.95621,11222,Brooklyn,,Kings County,New York
417,Barclay St & Church St,40.71291224,-74.01020234,10007,Manhattan,New York,New York County,New York
127,Barrow St & Hudson St,40.73172428,-74.00674436,10014,Manhattan,New York,New York County,New York
3908,Battery Pl & Greenwich St,40.70463,-74.01507,10004,Manhattan,New York,New York County,New York
355,Bayard St & Baxter St,40.71602118,-73.99974372,10013,Manhattan,New York,New York County,New York
3452,Bayard St & Leonard St,40.71915572,-73.94885391,11222,Brooklyn,,Kings County,New York
3823,Beaver St & Fayette St,40.700990000000004,-73.93921,11206,Brooklyn,,Kings County,New York
3571,Bedford Ave & Bergen St,40.676368,-73.95291800000001,11216,Brooklyn,,Kings County,New York
3803,Bedford Ave & Montgomery St,40.665816,-73.95693399999999,11225,Brooklyn,,Kings County,New York
3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,11222,Brooklyn,,Kings County,New York
443,Bedford Ave & S 9 St,40.70853074,-73.96408963,11249,Brooklyn,,Kings County,New York
3414,Bergen St & Flatbush Ave,40.68094472,-73.97567332,11217,Brooklyn,,Kings County,New York
3409,Bergen St & Smith St,40.686744299999994,-73.99063168,11201,Brooklyn,,Kings County,New York
3558,Bergen St & Vanderbilt Ave,40.6794388,-73.96804379999999,11238,Brooklyn,,Kings County,New York
3339,Berkeley Pl & 6 Ave,40.6765304,-73.97846879,11217,Brooklyn,,Kings County,New York
3346,Berkeley Pl & 7 Ave,40.67514684,-73.97523209,11217,Brooklyn,,Kings County,New York
3092,Berry St & N 8 St,40.7190095,-73.95852515,11249,Brooklyn,,Kings County,New York
356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,10002,Manhattan,New York,New York County,New York
3071,Boerum St & Broadway,40.70538077,-73.94976519,11206,Brooklyn,,Kings County,New York
3411,Bond St & Bergen St,40.6849668,-73.98620772,11217,Brooklyn,,Kings County,New York
3232,Bond St & Fulton St,40.68962189,-73.98304269,11201,Brooklyn,,Kings County,New York
260,Broad St & Bridge St,40.70365182,-74.01167797,10004,Manhattan,New York,New York County,New York
3589,Broadway & 12 St,40.7668,-73.93477740000002,11106,Queens,,Queens County,New York
304,Broadway & Battery Pl,40.70463334,-74.01361706,10004,Manhattan,New York,New York County,New York
389,Broadway & Berry St,40.71044554,-73.96525063,11249,Brooklyn,,Kings County,New York
285,Broadway & E 14 St,40.73454567,-73.99074142,10003,Manhattan,New York,New York County,New York
402,Broadway & E 22 St,40.740343200000005,-73.98955109,10010,Manhattan,New York,New York County,New York
3825,Broadway & Furman Ave,40.68139,-73.90756,11233,Brooklyn,,Kings County,New York
3831,Broadway & Hancock St,40.68663,-73.9168,11233,Brooklyn,,Kings County,New York
3837,Broadway & Kosciuszko St,40.693290000000005,-73.92851999999999,11221,Brooklyn,,Kings County,New York
3879,Broadway & Madison St,40.68822,-73.91966,11221,Brooklyn,,Kings County,New York
3547,Broadway & Moylan Pl,40.8143256,-73.9590255,10027,Manhattan,New York,New York County,New York
3078,Broadway & Roebling St,40.70924826,-73.96063149,11211,Brooklyn,,Kings County,New York
3545,Broadway & W 122 St,40.8120562,-73.9612547,10027,Manhattan,New York,New York County,New York
3641,Broadway & W 25 St,40.74286877,-73.98918629,10010,Manhattan,New York,New York County,New York
486,Broadway & W 29 St,40.7462009,-73.98855723,10001,Manhattan,New York,New York County,New York
267,Broadway & W 36 St,40.75097711,-73.98765428,10018,Manhattan,New York,New York County,New York
362,Broadway & W 37 St,40.75172632,-73.98753523,10018,Manhattan,New York,New York County,New York
533,Broadway & W 38 St,40.75299641,-73.98721619,10018,Manhattan,New York,New York County,New York
465,Broadway & W 41 St,40.75513557,-73.98658032,10036,Manhattan,New York,New York County,New York
173,Broadway & W 49 St,40.76068327,-73.98452729,10019,Manhattan,New York,New York County,New York
500,Broadway & W 51 St,40.76228826,-73.98336183,10019,Manhattan,New York,New York County,New York
469,Broadway & W 53 St,40.76344058,-73.98268129,10019,Manhattan,New York,New York County,New York
468,Broadway & W 56 St,40.7652654,-73.98192338,10019,Manhattan,New York,New York County,New York
499,Broadway & W 60 St,40.76915505,-73.98191841,10023,Manhattan,New York,New York County,New York
3067,Broadway & Whipple St,40.7016657,-73.9437303,11206,Brooklyn,,Kings County,New York
3782,Brooklyn Bridge Park - Pier 2,40.698458,-73.997178,11201,Brooklyn,,Kings County,New York
427,Bus Slip & State St,40.701907,-74.013942,10004,Manhattan,New York,New York County,New York
3842,Bushwick Ave & Dekalb Ave,40.69502,-73.92825,11221,Brooklyn,,Kings County,New York
3822,Bushwick Ave & Forrest St,40.700759999999995,-73.93641,11206,Brooklyn,,Kings County,New York
3871,Bushwick Ave & Furman Ave,40.682809999999996,-73.90623000000001,11207,Brooklyn,,Kings County,New York
3838,Bushwick Ave & Harman St,40.69356,-73.92524,11221,Brooklyn,,Kings County,New York
3836,Bushwick Ave & Linden St,40.69146,-73.92146,11221,Brooklyn,,Kings County,New York
3764,Bushwick Ave & McKibbin St,40.705517,-73.93936,11206,Brooklyn,,Kings County,New York
3083,Bushwick Ave & Powers St,40.71247661,-73.94100005,11211,Brooklyn,,Kings County,New York
3765,Bushwick Ave & Stagg St,40.709897,-73.94008000000001,11206,Brooklyn,,Kings County,New York
3303,Butler St & Court St,40.6849894,-73.99440329,11231,Brooklyn,,Kings County,New York
3723,Cadman Plaza E & Johnson St,40.69531728,-73.99015725,11201,Brooklyn,,Kings County,New York
321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,11201,Brooklyn,,Kings County,New York
3818,Calyer St & Jewel St,40.72984,-73.94839,11222,Brooklyn,,Kings County,New York
3049,Cambridge Pl & Gates Ave,40.68488,-73.96304,11238,Brooklyn,,Kings County,New York
307,Canal St & Rutgers St,40.71427487,-73.98990025,10002,Manhattan,New York,New York County,New York
3537,Carlton Ave & Dean St,40.68097410000001,-73.97100970000001,11238,Brooklyn,,Kings County,New York
242,Carlton Ave & Flushing Ave,40.697787,-73.973736,11205,Brooklyn,,Kings County,New York
419,Carlton Ave & Park Ave,40.69580705,-73.97355569,11205,Brooklyn,,Kings County,New York
368,Carmine St & 6 Ave,40.73038599,-74.00214988,10014,Manhattan,New York,New York County,New York
3364,Carroll St & 5 Ave,40.6751622,-73.9814832,11215,Brooklyn,,Kings County,New York
3361,Carroll St & 6 Ave,40.6740886,-73.9787282,11215,Brooklyn,,Kings County,New York
3377,Carroll St & Bond St,40.6786115,-73.99037292,11231,Brooklyn,,Kings County,New York
3389,Carroll St & Columbia St,40.6830456,-74.00348559,11231,Brooklyn,,Kings County,New York
3590,Carroll St & Franklin Ave,40.6679411,-73.9588,11225,Brooklyn,,Kings County,New York
3382,Carroll St & Smith St,40.680611,-73.99475825,11231,Brooklyn,,Kings County,New York
3587,Carroll St & Washington Ave,40.6686744,-73.9618148,11225,Brooklyn,,Kings County,New York
3383,Cathedral Pkwy & Broadway,40.804213,-73.96699104,10025,Manhattan,New York,New York County,New York
2009,Catherine St & Monroe St,40.71117444,-73.99682619,10038,Manhattan,New York,New York County,New York
3847,Cedar St & Evergreen Ave,40.696709999999996,-73.92806999999999,11221,Brooklyn,,Kings County,New York
3761,Cedar St & Myrtle Ave,40.697842,-73.926241,11221,Brooklyn,,Kings County,New York
3613,Center Blvd & 48 Ave,40.745038,-73.957539,11101,Queens,,Queens County,New York
3726,Center Blvd & 51 Ave,40.74336608,-73.95960689,11101,Queens,,Queens County,New York
3864,Central Ave & Covert St,40.68929,-73.90951,11207,Brooklyn,,Kings County,New York
3829,Central Ave & Decatur St,40.6882,-73.90798000000001,11207,Brooklyn,,Kings County,New York
3770,Central Ave & Flushing Ave,40.702831,-73.9333,11206,Brooklyn,,Kings County,New York
3846,Central Ave & Himrod St,40.69676,-73.92302,11221,Brooklyn,,Kings County,New York
3907,Central Ave & Melrose St,40.70112,-73.93039,11206,Brooklyn,,Kings County,New York
3776,Central Ave & Starr Street,40.700003,-73.92834,11221,Brooklyn,,Kings County,New York
3832,Central Ave & Weirfield St,40.69055,-73.91181,11221,Brooklyn,,Kings County,New York
3863,Central Ave & Woodbine St,40.69296,-73.91605,11221,Brooklyn,,Kings County,New York
3374,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,10026,Manhattan,New York,New York County,New York
2006,Central Park S & 6 Ave,40.76590936,-73.97634151,10019,Manhattan,New York,New York County,New York
3295,Central Park W & W 96 St,40.791270000000004,-73.964839,10025,Manhattan,New York,New York County,New York
3320,Central Park West & W 100 St,40.79406661,-73.96286845,10025,Manhattan,New York,New York County,New York
3341,Central Park West & W 102 St,40.795346,-73.96186,10025,Manhattan,New York,New York County,New York
3163,Central Park West & W 68 St,40.7734066,-73.97782542,10023,Manhattan,New York,New York County,New York
3165,Central Park West & W 72 St,40.77579377,-73.97620574,10023,Manhattan,New York,New York County,New York
3160,Central Park West & W 76 St,40.77896784,-73.97374737,10024,Manhattan,New York,New York County,New York
3810,Central Park West & W 82 St,40.782593,-73.971211,10024,Manhattan,New York,New York County,New York
3168,Central Park West & W 85 St,40.78472675,-73.96961715,10024,Manhattan,New York,New York County,New York
387,Centre St & Chambers St,40.71273266,-74.0046073,10007,Manhattan,New York,New York County,New York
3884,Centre St & Seneca Ave,40.699690000000004,-73.9022,11385,Queens,,Queens County,New York
386,Centre St & Worth St,40.71494807,-74.00234482,10013,Manhattan,New York,New York County,New York
332,Cherry St,40.71219906,-73.97948148,10002,Manhattan,New York,New York County,New York
358,Christopher St & Greenwich St,40.73291553,-74.00711384,10014,Manhattan,New York,New York County,New York
391,Clark St & Henry St,40.69760127,-73.99344559,11201,Brooklyn,,Kings County,New York
3562,Classon Ave & St Marks Ave,40.676519799999994,-73.9596082,11238,Brooklyn,,Kings County,New York
420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,11238,Brooklyn,,Kings County,New York
421,Clermont Ave & Park Ave,40.69573398,-73.97129668,11205,Brooklyn,,Kings County,New York
151,Cleveland Pl & Spring St,40.72210379,-73.99724901,10012,Manhattan,New York,New York County,New York
3783,Cliff St & Fulton St,40.70838,-74.00495,10038,Manhattan,New York,New York County,New York
343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,11205,Brooklyn,,Kings County,New York
366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,11205,Brooklyn,,Kings County,New York
3396,Clinton St & 4 Place,40.6783563,-74.00014502,11231,Brooklyn,,Kings County,New York
3326,Clinton St & Centre St,40.67434,-74.00194698,11231,Brooklyn,,Kings County,New York
350,Clinton St & Grand St,40.71559509,-73.9870295,10002,Manhattan,New York,New York County,New York
143,Clinton St & Joralemon St,40.69239502,-73.99337909,11201,Brooklyn,,Kings County,New York
3321,Clinton St & Union St,40.683116399999996,-73.99785267,11231,Brooklyn,,Kings County,New York
3348,Coffey St & Conover St,40.677236,-74.015665,11231,Brooklyn,,Kings County,New York
216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,11201,Brooklyn,,Kings County,New York
3422,Columbia St & Degraw St,40.6859296,-74.00242364,11231,Brooklyn,,Kings County,New York
3311,Columbia St & Kane St,40.68763155,-74.0016256,11231,Brooklyn,,Kings County,New York
3333,Columbia St & Lorraine St,40.6747055,-74.00755720000001,11231,Brooklyn,,Kings County,New York
342,Columbia St & Rivington St,40.71739973,-73.98016555,10002,Manhattan,New York,New York County,New York
3394,Columbia St & W 9 St,40.6769993,-74.00647134,11231,Brooklyn,,Kings County,New York
3302,Columbus Ave & W 103 St,40.7969347,-73.96434123,10025,Manhattan,New York,New York County,New York
3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,10023,Manhattan,New York,New York County,New York
3301,Columbus Ave & W 95 St,40.7919557,-73.968087,10025,Manhattan,New York,New York County,New York
3392,Commerce St & Van Brunt St,40.681211700000006,-74.00860912,11231,Brooklyn,,Kings County,New York
278,Concord St & Bridge St,40.69766564,-73.98476437,11201,Brooklyn,,Kings County,New York
3408,Congress St & Clinton St,40.6881529,-73.99520919,11201,Brooklyn,,Kings County,New York
3263,Cooper Square & Astor Pl,40.72951496,-73.9907527,10003,Manhattan,New York,New York County,New York
3397,Court St & Nelson St,40.6763947,-73.99869893,11231,Brooklyn,,Kings County,New York
3402,Court St & State St,40.6902375,-73.99203074,11201,Brooklyn,,Kings County,New York
3614,Crescent St & 30 Ave,40.768692,-73.9249574,11102,Queens,,Queens County,New York
3575,Crescent St & 34 Ave,40.76108,-73.930562,11106,Queens,,Queens County,New York
3566,Crescent St & 35 Ave,40.7596276,-73.93214549999999,11106,Queens,,Queens County,New York
3592,Crescent St & Broadway,40.7633589,-73.92864709999999,11106,Queens,,Queens County,New York
3530,Crescent St & Ditmars Blvd,40.7787185,-73.9145645,11105,Queens,,Queens County,New York
416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,11238,Brooklyn,,Kings County,New York
3878,Cypress Ave & George St,40.69812,-73.90271,11385,Queens,,Queens County,New York
3895,Cypress Ave & Palmetto St,40.70157341,-73.90876293,11385,Queens,,Queens County,New York
467,Dean St & 4 Ave,40.68312489,-73.97895137,11217,Brooklyn,,Kings County,New York
